scope,regime,target,model,frames,values,explained_variance,mse
d3d_shot_041d27b1a2,all,ff_prime,tuned_transport,97,2328,-1.7886649982422798,0.07238906932427458
d3d_shot_041d27b1a2,all,ff_prime,default_transport,97,2328,-1.7876651934976504,0.07236311606885834
d3d_shot_041d27b1a2,all,ff_prime,persistence,97,2328,-1.7917554557776243,0.07246929242203312
d3d_shot_041d27b1a2,all,psi,tuned_transport,97,2328,-3.4781133292008386,0.026903454391811386
d3d_shot_041d27b1a2,all,psi,default_transport,97,2328,-6.637776770431344,0.04588597114285324
d3d_shot_041d27b1a2,all,psi,persistence,97,2328,-3.3197825474517586,0.02595224019679985
d3d_shot_041d27b1a2,ramp,ff_prime,tuned_transport,57,1368,-1.8375939810740576,0.07489554298719668
d3d_shot_041d27b1a2,ramp,ff_prime,default_transport,57,1368,-1.8365807481608538,0.07486879968645914
d3d_shot_041d27b1a2,ramp,ff_prime,persistence,57,1368,-1.8407444383985796,0.07497869625491287
d3d_shot_041d27b1a2,ramp,psi,tuned_transport,57,1368,-3.6914431061945328,0.0271337790763497
d3d_shot_041d27b1a2,ramp,psi,default_transport,57,1368,-7.007329055030025,0.046311783528599305
d3d_shot_041d27b1a2,ramp,psi,persistence,57,1368,-3.5349187776103443,0.026228493334683235
d3d_shot_041d27b1a2,flat_top,ff_prime,tuned_transport,18,432,-1.7439115401726095,0.019605268487352136
d3d_shot_041d27b1a2,flat_top,ff_prime,default_transport,18,432,-1.743316197892279,0.019601014762304202
d3d_shot_041d27b1a2,flat_top,ff_prime,persistence,18,432,-1.7458044334096643,0.019618793223695502
d3d_shot_041d27b1a2,flat_top,psi,tuned_transport,18,432,-2.217026795252728,0.011937804654635276
d3d_shot_041d27b1a2,flat_top,psi,default_transport,18,432,-4.886608538982013,0.021844139725654545
d3d_shot_041d27b1a2,flat_top,psi,persistence,18,432,-1.4510763174800365,0.00909550094977707
d3d_shot_0409a2c96c,all,ff_prime,tuned_transport,181,4343,-0.21015965307278783,0.043359775756602145
d3d_shot_0409a2c96c,all,ff_prime,default_transport,181,4343,-0.21025678940146664,0.04336325613162426
d3d_shot_0409a2c96c,all,ff_prime,persistence,181,4343,-0.2080205661059198,0.043283132702958964
d3d_shot_0409a2c96c,all,psi,tuned_transport,181,4343,-2.066720552623707,1.2369421929927553
d3d_shot_0409a2c96c,all,psi,default_transport,181,4343,-2.1242213201671687,1.2601347611721827
